TR:JMD:CellLine,TR:FLT3i,TR:TNFA,TR:IGF1,TR:MAPK14i,TR:JNKi,TR:PI3Ki,TR:MTORi,TR:MEK1_2i,TR:GSK3Bi,TR:GSK3Ai,DA:CREB,DA:JNK,DA:MAPK14,DA:ERK1_2,DA:STAT3,DA:STAT5A,DA:GSK3B,DA:IGF1R,DA:MTOR,DA:RPS6KB1,DA:PTEN,DA:GSK3A,DA:TSC2,DA:RPS6,DV:CREB,DV:JNK,DV:MPAK14,DV:ERK1_2,DV:STAT3,DV:STAT5A,DV:GSK3B,DV:IGF1R,DV:MTOR,DV:RPS6KB1,DV:PTEN,DV:GSK3A,DV:TSC2,DV:RPS6
1,1,1,0,1,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.038288794,0.36829104,1.144285238,0.035144846,0.038098412,0.009992946,0.03840708,0.004955752,0.067035398,0.006681416,0.538156638,0.005539637,0.105752212,0.011681416
1,1,1,0,0,1,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.151764585,0.122234798,1.482667981,0.022123651,0.01491923,0.010035123,0.028266426,0.005417957,0.045859133,0.006084181,0.530496667,0.006095201,0.045472136,0.011170956
1,1,0,1,0,0,1,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.043468618,0.08555112,1.034597472,0.018962076,0.014210313,0.011621764,0.016892812,0.005824463,0.045338129,0.006757125,0.555734083,0.006321181,0.055800774,0.011950191
1,1,0,1,0,0,0,1,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.04706275,0.094848687,0.855418336,0.019581664,0.013875178,0.009761983,0.026615746,0.004700353,0.049802714,0.005640423,0.552158979,0.005052879,0.082523338,0.010340776
1,1,0,1,0,0,0,0,1,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.032668178,0.092698027,0.690123199,0.008346692,0.01312109,0.009175833,0.035872434,0.004830702,0.054135183,0.00550055,0.559776421,0.005456904,0.106812184,0.010454404
1,0,1,0,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.103304424,0.113349435,1.100647249,0.107015215,0.03318697,0.034358145,0.104948315,0.006939127,0.133805513,0.016482971,0.555911182,0.00730146,0.204190838,0.036083461
1,0,0,1,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.070059551,0.048441175,0.831256568,0.074556337,0.025727187,0.033182821,0.101044804,0.00607116,0.107304217,0.010448042,0.528242472,0.006541792,0.19189216,0.023531627
1,0,1,0,1,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.052005079,0.245259841,0.86647439,0.13779843,0.044063451,0.029044546,0.093281462,0.006032259,0.125253059,0.013813,0.523742877,0.006731652,0.217423613,0.02028238
1,0,1,0,0,1,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.122511943,0.087480096,1.189888535,0.017068073,0.012042197,0.010773853,0.040893271,0.005563569,0.049738979,0.005975685,0.56645374,0.005769627,0.070475638,0.010611993
1,0,0,1,0,0,1,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.096301233,0.075197157,0.93403782,0.153393313,0.025361513,0.036210152,0.067725798,0.005076715,0.086526304,0.008348375,0.518614621,0.005826479,0.14215821,0.014198982
1,0,0,1,0,0,0,1,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.057166316,0.048237286,0.804741623,0.112587879,0.026376559,0.026581824,0.083071054,0.005018489,0.09089175,0.005245589,0.5163567,0.00538865,0.17892227,0.011446727
1,0,0,1,0,0,0,0,1,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.041332511,0.094899872,0.651655357,0.007916924,0.01244088,0.022928234,0.082497213,0.005448056,0.081908698,0.007044899,0.563638053,0.005448056,0.187262609,0.012492955
1,0,0,1,0,0,0,0,0,1,1,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.075087251,0.042188462,0.85182714,0.080886882,0.032464132,0.030264949,0.063154597,0.005367584,0.109652066,0.010064219,0.556263778,0.005750982,0.231668743,0.018216811
