TR:TKD:CellLine,TR:FLT3i,TR:TNFA,TR:IGF1,TR:MAPK14i,TR:JNKi,TR:PI3Ki,TR:MTORi,TR:MEK1_2i,TR:GSK3Bi,TR:GSK3Ai,DA:CREB1,DA:JNK,DA:MAPK14,DA:ERK1_2,DA:STAT3,DA:STAT5A,DA:GSK3B,DA:IGF1R,DA:MTOR,DA:RPS6KB1,DA:PTEN,DA:GSK3A,DA:TSC2,DA:RPS6,DV:CREB1,DV:JNK,DV:MAPK14,DV:ERK1_2,DV:STAT3,DV:STAT5A,DV:GSK3B,DV:IGF1R,DV:MTOR,DV:RPS6KB1,DV:PTEN,DV:GSK3A,DV:TSC2,DV:RPS6
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038339731,0.037290785,0.988627639,0.00965606,0.010940499,0.005399073,0.012754192,0.00439521,0.031840885,0.004126116,0.446203525,0.004215814,0.0289868,0.006637664
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038339731,0.037290785,0.988627639,0.00965606,0.010940499,0.005399073,0.012754192,0.00439521,0.031840885,0.004126116,0.446203525,0.004215814,0.0289868,0.006637664
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038339731,0.037290785,0.988627639,0.00965606,0.010940499,0.005399073,0.012754192,0.00439521,0.031840885,0.004126116,0.446203525,0.004215814,0.0289868,0.006637664
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038339731,0.037290785,0.988627639,0.00965606,0.010940499,0.005399073,0.012754192,0.00439521,0.031840885,0.004126116,0.446203525,0.004215814,0.0289868,0.006637664
1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038339731,0.037290785,0.988627639,0.00965606,0.010940499,0.005399073,0.012754192,0.00439521,0.031840885,0.004126116,0.446203525,0.004215814,0.0289868,0.006637664
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038339731,0.037290785,0.988627639,0.00965606,0.010940499,0.005399073,0.012754192,0.00439521,0.031840885,0.004126116,0.446203525,0.004215814,0.0289868,0.006637664
1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038339731,0.037290785,0.988627639,0.00965606,0.010940499,0.005399073,0.012754192,0.00439521,0.031840885,0.004126116,0.446203525,0.004215814,0.0289868,0.006637664
1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038339731,0.037290785,0.988627639,0.00965606,0.010940499,0.005399073,0.012754192,0.00439521,0.031840885,0.004126116,0.446203525,0.004215814,0.0289868,0.006637664
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038339731,0.037290785,0.988627639,0.00965606,0.010940499,0.005399073,0.012754192,0.00439521,0.031840885,0.004126116,0.446203525,0.004215814,0.0289868,0.006637664
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038339731,0.037290785,0.988627639,0.00965606,0.010940499,0.005399073,0.012754192,0.00439521,0.031840885,0.004126116,0.446203525,0.004215814,0.0289868,0.006637664
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038339731,0.037290785,0.988627639,0.00965606,0.010940499,0.005399073,0.012754192,0.00439521,0.031840885,0.004126116,0.446203525,0.004215814,0.0289868,0.006637664
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038339731,0.037290785,0.988627639,0.00965606,0.010940499,0.005399073,0.012754192,0.00439521,0.031840885,0.004126116,0.446203525,0.004215814,0.0289868,0.006637664
