TR:TKD:CellLine,TR:FLT3i,TR:TNF,TR:IGF1R,TR:MAPK14i,TR:JNKi,TR:PI3Ki,TR:MTORi,TR:MEK1_2i,TR:GSK3Bi,TR:GSK3Ai,DA:CREB1,DA:JNK,DA:MAPK14,DA:ERK1_2,DA:STAT3,DA:STAT5A,DA:GSK3B,DA:IGF1R,DA:MTOR,DA:RPS6KB1,DA:PTEN,DA:GSK3A,DA:TSC2,DA:RPS6,DV:CREB1,DV:JNK,DV:MAPK14,DV:ERK1_2,DV:STAT3,DV:STAT5A,DV:GSK3B,DV:IGF1R,DV:MTOR,DV:RPS6KB1,DV:PTEN,DV:GSK3A,DV:TSC2,DV:RPS6
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132436555,0.005389657,0.98774454,0.015828662,0.014338963,0.000861695,0.997009007,0.068212524,0.000682339,0.002908012,0.999074553,0.994743552,0.995749277,0.001356178
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132436555,0.005389657,0.98774454,0.015828662,0.014338963,0.000861695,0.997009007,0.068212524,0.000682339,0.002908012,0.999074553,0.994743552,0.995749277,0.001356178
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132436555,0.005389657,0.98774454,0.015828662,0.014338963,0.000861695,0.997009007,0.068212524,0.000682339,0.002908012,0.999074553,0.994743552,0.995749277,0.001356178
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132436555,0.005389657,0.98774454,0.015828662,0.014338963,0.000861695,0.997009007,0.068212524,0.000682339,0.002908012,0.999074553,0.994743552,0.995749277,0.001356178
1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132436555,0.005389657,0.98774454,0.015828662,0.014338963,0.000861695,0.997009007,0.068212524,0.000682339,0.002908012,0.999074553,0.994743552,0.995749277,0.001356178
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132436555,0.005389657,0.98774454,0.015828662,0.014338963,0.000861695,0.997009007,0.068212524,0.000682339,0.002908012,0.999074553,0.994743552,0.995749277,0.001356178
1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132436555,0.005389657,0.98774454,0.015828662,0.014338963,0.000861695,0.997009007,0.068212524,0.000682339,0.002908012,0.999074553,0.994743552,0.995749277,0.001356178
1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132436555,0.005389657,0.98774454,0.015828662,0.014338963,0.000861695,0.997009007,0.068212524,0.000682339,0.002908012,0.999074553,0.994743552,0.995749277,0.001356178
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132436555,0.005389657,0.98774454,0.015828662,0.014338963,0.000861695,0.997009007,0.068212524,0.000682339,0.002908012,0.999074553,0.994743552,0.995749277,0.001356178
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132436555,0.005389657,0.98774454,0.015828662,0.014338963,0.000861695,0.997009007,0.068212524,0.000682339,0.002908012,0.999074553,0.994743552,0.995749277,0.001356178
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132436555,0.005389657,0.98774454,0.015828662,0.014338963,0.000861695,0.997009007,0.068212524,0.000682339,0.002908012,0.999074553,0.994743552,0.995749277,0.001356178
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132436555,0.005389657,0.98774454,0.015828662,0.014338963,0.000861695,0.997009007,0.068212524,0.000682339,0.002908012,0.999074553,0.994743552,0.995749277,0.001356178
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132436555,0.005389657,0.98774454,0.015828662,0.014338963,0.000861695,0.997009007,0.068212524,0.000682339,0.002908012,0.999074553,0.994743552,0.995749277,0.001356178
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132436555,0.005389657,0.98774454,0.015828662,0.014338963,0.000861695,0.997009007,0.068212524,0.000682339,0.002908012,0.999074553,0.994743552,0.995749277,0.001356178
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132436555,0.005389657,0.98774454,0.015828662,0.014338963,0.000861695,0.997009007,0.068212524,0.000682339,0.002908012,0.999074553,0.994743552,0.995749277,0.001356178
1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132436555,0.005389657,0.98774454,0.015828662,0.014338963,0.000861695,0.997009007,0.068212524,0.000682339,0.002908012,0.999074553,0.994743552,0.995749277,0.001356178
