geneID	gene_name	JMD1	JMD_TKD1	JMD2	JMD_TKD2	JMD3	JMD4	JMD5	JMD_TKD3	TKD1	TKD2	JMD6	JMD7	JMD8	JMD_TKD4
25	ABL1	-0.0027492461486729055	0.3265107236934331	0.14396837744328572	0.09489569447794327	0.04030210058792038	0.40386435237410107	0.27392017271400504	-0.19830391796090668	0.1524404103861329	0.1085972323793847	0.062051819238670036	-0.07533027124805369	0.08061403595594928	0.13751215101261835
65057	ACD	-0.24908921130521633	-0.09763133147351917	-0.11832104879747095	-0.2938419727249573	-0.44125368359553213	-0.034082073960863275	-0.21031405580409546	-0.6345130713307343	-0.2939470653517297	-0.720680001830635	-0.39673529584164013	-0.38443445080761074	-0.5647273271125797	-1.0579672505817657
207	AKT1	1.00941836181489	1.1038385445864067	1.0305550025162784	1.0591544972376172	1.0560319937508864	1.2519798894514969	0.8232297836008127	0.8040308807015331	0.6747109062004987	0.906409040062174	0.867273961047867	1.1197307113104682	1.1209980501351589	0.8178229051130322
208	AKT2	-0.7813770247738332	-0.3003528848355047	-0.6830147515275381	-0.7479312308731613	-0.8837561417506512	-0.46584765231530495	-0.5949133776433811	-0.92648498814525	-0.7556687860730347	-0.8284601223118279	-0.8480388664157112	-0.9095469051308874	-0.6906900474928829	-0.9758319615995962
22852	ANKRD26	-0.18964684879682664	0.14696361459167415	-0.08640368361835452	-0.027255737976410684	0.09545198875472621	0.107932593516727	0.35528671285864566	-0.19439171772780214	-0.11178426430739007	-0.04658299059524573	-0.13570907743437435	-0.08077566483111612	-0.2766396173105554	-0.5719297748016368
369	ARAF	0.4773438815059026	0.5208069324852104	0.5586910074472307	0.4991927917992245	0.43536364617609324	0.6787225070367452	0.4224400465158826	0.3740729607739849	0.21052022659056155	0.5003959572172315	0.4749928481878966	0.4859482264609076	0.5215881862930567	0.476419504184071
8289	ARID1A	1.1012047475193174	1.0280873185178567	1.1197278854808939	1.030613980674974	1.2762488451384102	0.8854921742957415	0.9537776762614939	1.1791034809557353	1.2366407519048463	1.2881792326062287	1.2717856312865579	1.31102907265468	1.0716027433870612	1.0372013796317126
57492	ARID1B	1.1320264845264898	0.8568146330500874	1.0967409053005124	0.8765905300597749	1.1013151387861178	0.5659631115055458	0.9105254806422131	0.834946240764943	1.0951529893975176	1.082440114205922	1.0782722040004171	1.1516257732750241	0.7753003611181654	0.6981654904309348
196528	ARID2	0.6974857073042829	0.7013399817481174	0.4923272075824395	0.775299303964744	0.8131139276772676	0.602790020815656	0.8203251207517892	0.519957811358122	0.7439144475185966	0.7708426609517547	0.7016317670423144	0.8398365350200604	0.42694087821617177	0.8897170260638806
171023	ASXL1	0.350860516926509	0.45968165835689134	0.45758709733645275	0.26540442104591383	0.26419123413602585	0.18604057186789685	0.34401177263963695	0.2114322561118997	0.39760817726025666	0.4937342911671573	0.3110033710774688	0.4425279682576519	0.2274147056207153	0.4531710387578966
55252	ASXL2	0.5248533541922066	0.5063356992955268	0.5131101652650202	0.47337149849037524	0.7119455467680526	0.3864957812671888	0.5212129030037239	0.4065798811939437	0.5451636468832947	0.7283033430226565	0.6301814481936613	0.7332612732145054	0.4345231021400837	0.021424415145495115
472	ATM	1.0509147662119522	0.7036835691696985	0.6607506081807328	1.2558711720432607	1.4409224033185866	1.4837725975633407	0.9697756277553999	1.6267168880748375	1.1522784080909754	1.0423729093763692	1.2157951928443758	1.1498958239044286	1.1062794447216524	0.7124872254424659
546	ATRX	1.3198255634198828	1.125716566772197	1.281976186760825	1.1661272104601808	1.4611826911752839	1.0854356128406104	1.2435781273609072	1.2773979806920868	1.3836640058082723	1.4615795856526177	1.3241350706908943	1.308092679630031	1.0517634705717402	0.8945207787747034
567	B2M	1.251521710851979	1.262383293403504	1.016751006169078	1.4462764354833988	1.1886013896544527	0.6796585548622516	1.288027421448599	1.6896854075729857	1.2695062533372268	0.9868106863807274	1.13329771478855	1.0047654478105223	1.4751504875945007	1.2512484074603614
85319	BAGE2	-1.5720800270303639	-1.2765706435314554	-1.3342808222673637	-1.2592199304274128	-1.1734675610731347	0.14030659556498698	-1.57234342744568	-1.978890911313406	-1.820453098068063	-1.008913418949105	-1.3426610664710015	-1.2655746465525304	-0.6559448095119634	-0.6667243582930613
8915	BCL10	-0.6891402443748962	-0.5139902701069413	-0.9770799859095552	-0.7577980842276836	-0.7304275115945746	-1.4727711340167218	-0.41645740403983406	-1.1421144395157752	-0.8871408407762744	-0.6744404645337087	-0.6878784279699791	-0.7752429731424336	-1.065951902909456	-0.7743237311098636
596	BCL2	-0.4411703789751055	0.13884509519815202	-0.1621718496774733	-0.4168795069774248	-0.23865068957818764	-1.402132707126622	-0.011765973700735934	-0.5879456571942094	-0.04861922005742141	-0.19431185712819607	-0.3629580649576616	-0.20610034143999353	-1.20487370794677	-1.1963245328233234
604	BCL6	0.4595019717314836	-1.0096544773551503	-0.5930020697655353	0.7107328137153964	0.2595917454394727	0.939556985084854	-0.46472246224823066	0.7196312107142184	-0.6137589796960677	0.4535730393936132	0.3196495141516666	0.7451310562616497	0.7871445400751915	0.39706314701596435
605	BCL7A	-1.4990942493807176	-0.7389940594139366	-0.26492523320988137	-0.9485591858989963	-1.274013554092451	-1.3254681617779067	-0.6844138573622941	-1.2522623262996815	-0.6708012183725965	-0.7448463901454142	-1.129478526486408	-0.9186247841211214	-1.0758066930274728	-0.7827446075547074
